GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_7: Land area in square kilometres,v_CA21_6: Population density per square kilometre,"v_CA21_1: Population, 2021",v_CA21_389: Average age,v_CA21_386: Average age,v_CA21_1139: Inequality measures for the population in private households,v_CA21_1055: LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable,"v_CA21_1070: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",v_CA21_4237: Total - Private households by tenure,v_CA21_4293: Total - Households 'spending 30% or more of income on shelter costs' or 'not suitable' or 'major repairs needed',"v_CA21_4302: Total - Owner and tenant households with household total income greater than zero and shelter-cost-to-income ratio less than 100%, in non-farm, non-reserve private dwellings",v_CA21_6492: Total - Population aged 15 years and over by labour force status
48112760,DA,48112760,0.0615,326,245,207,0.06,5300.8,326,33.6,37.8,330,330,40,13.2,215,65,220,335
48112762,DA,48112762,0.0665,692,485,433,0.07,10406,692,32.0,38.6,695,695,105,15.8,430,135,400,660
48112764,DA,48112764,0.4017,1541,1101,942,0.4,3836.2,1541,32.0,36.0,1540,1540,290,18.8,930,415,875,1380
48112800,DA,48112800,0.532,1678,552,547,0.53,3154.1,1678,46.4,43.2,1680,1680,55,3.3,545,85,545,1410
48112801,DA,48112801,0.1656,637,284,271,0.17,3846.6,637,42.0,47.1,510,510,25,4.8,285,90,280,440
48112802,DA,48112802,0.4815,2007,740,709,0.48,4168.2,2007,32.8,34.4,2000,2000,155,7.6,695,270,680,1520
48112803,DA,48112803,0.2464,0,0,0,0.25,0,0,,,,,,,,,,
48112804,DA,48112804,0.0774,0,0,0,0.08,0,0,,,,,,,,,,
48112805,DA,48112805,0.0484,480,281,246,0.05,9917.4,480,26.6,33.1,480,480,180,37.2,255,175,230,445
48112806,DA,48112806,0.0895,1692,962,868,0.09,18905,1692,29.6,34.4,1685,1685,320,18.8,845,510,750,1505
48112807,DA,48112807,0.324,726,408,356,0.32,2240.7,726,31.0,32.2,725,725,55,7.2,355,130,345,680
48112808,DA,48112808,0.3783,976,369,352,0.38,2580,976,33.6,33.5,975,975,45,4.6,360,115,350,765
48112809,DA,48112809,0.3237,389,224,203,0.32,1201.7,389,32.0,34.8,390,390,30,8,200,70,195,335
48112810,DA,48112810,0.1104,1166,558,507,0.11,10561.6,1166,31.6,33.4,1165,1165,145,12.6,520,200,495,970
48112837,DA,48112837,0.0962,742,306,284,0.1,7713.1,742,29.4,30.8,745,745,140,18.4,325,165,315,695
48112839,DA,48112839,0.095,0,1,1,0.1,0,0,,,,,,,,,,
48112840,DA,48112840,0.0593,749,414,359,0.06,12630.7,749,34.8,35.1,750,750,120,15.6,350,180,335,615
48112841,DA,48112841,0.065,914,597,535,0.07,14061.5,914,37.2,39.6,915,915,140,15,540,280,530,790
48112848,DA,48112848,0.2872,1553,1613,1043,0.29,5407.4,1553,29.8,33.5,1550,1550,270,17.2,1005,480,900,1405
48112849,DA,48112849,0.0408,561,491,427,0.04,13750,561,50.8,51.8,560,560,45,7.2,450,230,440,585
