GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_7: Land area in square kilometres,v_CA21_6: Population density per square kilometre,"v_CA21_1: Population, 2021",v_CA21_389: Average age,v_CA21_386: Average age,v_CA21_1139: Inequality measures for the population in private households,v_CA21_1055: LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable,"v_CA21_1070: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",v_CA21_4237: Total - Private households by tenure,v_CA21_4293: Total - Households 'spending 30% or more of income on shelter costs' or 'not suitable' or 'major repairs needed',"v_CA21_4302: Total - Owner and tenant households with household total income greater than zero and shelter-cost-to-income ratio less than 100%, in non-farm, non-reserve private dwellings",v_CA21_6492: Total - Population aged 15 years and over by labour force status
48110203,DA,48110203,0.2857,620,468,356,0.29,2170.1,620,33.2,34.9,575,575,110,19.2,295,165,270,435
48110206,DA,48110206,0.0428,426,277,215,0.04,9953.3,426,34.4,34.3,425,425,105,24.8,200,160,195,295
48110207,DA,48110207,0.2138,580,416,308,0.21,2712.8,580,52.4,50.2,550,550,85,15.8,305,155,290,490
48110208,DA,48110208,0.4217,833,507,442,0.42,1975.3,833,36.8,39.0,815,815,110,13.4,420,200,395,705
48110209,DA,48110209,0.1367,445,278,210,0.14,3255.3,445,44.0,43.3,445,445,95,20.4,240,125,215,420
48110210,DA,48110210,0.0991,369,177,149,0.1,3723.5,369,44.8,46.5,330,330,30,9.5,165,80,160,320
48110211,DA,48110211,0.1113,392,199,163,0.11,3522,392,42.0,41.5,370,370,50,13.2,170,50,170,335
48110212,DA,48110212,0.0901,428,243,220,0.09,4750.3,428,53.6,49.8,390,390,60,15.2,210,95,215,330
48110213,DA,48110213,0.2615,1015,696,578,0.26,3881.5,1015,47.6,44.8,950,950,205,21.8,495,260,475,670
48110215,DA,48110215,0.5734,536,354,292,0.57,934.8,536,39.2,40.0,535,535,85,16.4,310,185,295,540
48110216,DA,48110216,0.1194,478,224,194,0.12,4003.4,478,36.8,38.1,475,475,45,9.6,195,115,195,370
48110217,DA,48110217,0.1355,846,440,369,0.14,6243.5,846,35.2,35.6,845,845,85,9.6,365,145,360,635
48110218,DA,48110218,0.1458,474,224,193,0.15,3251,474,40.8,41.4,475,475,50,10.8,200,80,190,375
48110219,DA,48110219,0.1021,468,207,188,0.1,4583.7,468,42.4,41.1,470,470,45,9.6,205,95,180,430
48110220,DA,48110220,0.1302,491,197,170,0.13,3771.1,491,47.2,45.1,385,385,50,13.2,190,115,175,370
48110221,DA,48110221,0.2861,435,194,168,0.29,1520.4,435,30.6,33.9,425,425,45,10.8,200,105,185,380
48110222,DA,48110222,0.2367,414,195,160,0.24,1749,414,36.8,39.6,400,400,40,9.5,160,60,165,365
48110223,DA,48110223,0.2918,489,263,198,0.29,1675.8,489,47.6,46.8,405,405,60,14.4,170,60,165,315
48110225,DA,48110225,0.09,428,303,268,0.09,4755.6,428,44.0,46.6,425,425,50,10.8,285,145,280,395
48110226,DA,48110226,0.1717,506,373,297,0.17,2947,506,38.4,40.0,500,500,80,15.6,305,150,290,415
48110227,DA,48110227,0.043,394,261,216,0.04,9162.8,394,34.0,35.0,395,395,95,24.8,210,140,205,340
48110228,DA,48110228,0.6822,545,252,225,0.68,798.9,545,44.8,42.8,540,540,35,5.6,240,65,230,485
48110229,DA,48110229,0.2719,655,308,283,0.27,2409,655,37.2,38.0,655,655,55,8.4,290,85,285,585
48110230,DA,48110230,0.1247,734,421,383,0.12,5886.1,734,36.0,37.9,735,735,100,13.4,420,205,405,685
48110231,DA,48110231,0.0831,601,451,372,0.08,7232.3,601,38.8,39.8,600,600,115,19.6,360,170,320,510
48110232,DA,48110232,0.2749,536,291,273,0.27,1949.8,536,45.2,45.2,535,535,25,4.4,290,100,285,470
48110233,DA,48110233,0.0967,522,309,253,0.1,5398.1,522,36.0,36.4,515,515,75,14.4,255,130,250,415
48110234,DA,48110234,0.2014,738,442,374,0.2,3664.3,738,35.2,36.4,740,740,95,12.6,365,185,355,615
48110235,DA,48110235,0.183,581,293,271,0.18,3174.9,581,39.2,38.6,580,580,55,10,280,125,255,435
48110236,DA,48110236,0.1609,484,246,217,0.16,3008.1,484,39.6,40.1,485,485,25,5.6,215,65,210,400
48110237,DA,48110237,0.1777,400,189,174,0.18,2251,400,43.2,43.1,400,400,20,5,175,45,170,350
48110238,DA,48110238,0.2177,782,278,260,0.22,3592.1,782,32.4,33.0,780,780,75,10,245,100,240,600
48110239,DA,48110239,0.6673,648,286,269,0.67,971.1,648,43.2,42.5,645,645,40,6.4,270,120,270,530
48110240,DA,48110240,0.6089,494,250,222,0.61,811.3,494,36.8,38.2,495,495,35,6.8,210,80,200,375
48110241,DA,48110241,0.2082,601,267,241,0.21,2886.6,601,36.8,37.8,590,590,25,4.8,245,95,230,490
48110242,DA,48110242,0.2932,567,272,237,0.29,1933.8,567,34.8,36.4,570,570,65,12,260,140,245,495
48110243,DA,48110243,0.1414,555,237,209,0.14,3925,555,36.4,35.7,550,550,65,11.6,240,85,235,535
48110244,DA,48110244,0.1211,492,221,206,0.12,4062.8,492,41.2,42.9,435,435,45,10.4,190,105,180,330
48110245,DA,48110245,0.2021,531,228,214,0.2,2627.4,531,41.6,42.2,530,530,20,4.4,235,55,220,490
48110246,DA,48110246,0.1854,534,215,201,0.19,2880.3,534,42.0,41.4,530,530,35,6,210,65,205,530
48110247,DA,48110247,0.207,738,295,273,0.21,3565.2,738,38.8,39.4,735,735,45,6,260,100,255,570
48110248,DA,48110248,0.1911,437,197,182,0.19,2286.8,437,39.6,40.9,435,435,25,5.6,200,90,195,420
48110249,DA,48110249,0.1334,507,245,220,0.13,3800.6,507,41.6,40.5,495,495,40,8,215,100,205,400
48110250,DA,48110250,0.1703,502,234,208,0.17,2947.7,502,40.4,40.9,470,470,35,6.4,225,120,215,450
48110251,DA,48110251,0.3169,630,250,241,0.32,1988,630,39.2,39.3,620,620,50,8,240,75,225,505
48110252,DA,48110252,0.6774,470,204,182,0.68,693.8,470,35.2,35.8,465,465,55,12.4,160,85,160,330
48110253,DA,48110253,0.2689,495,193,186,0.27,1840.8,495,41.6,41.7,495,495,30,6,175,40,170,365
48110254,DA,48110254,0.1784,411,189,168,0.18,2303.8,411,43.6,42.7,410,410,30,6.4,170,45,175,370
48110255,DA,48110255,0.1287,621,209,201,0.13,4825.2,621,33.6,35.3,625,620,60,9.6,210,95,205,480
48110256,DA,48110256,0.141,483,228,195,0.14,3425.5,483,36.0,37.0,470,470,55,12,125,45,125,215
48110257,DA,48110257,0.156,457,178,169,0.16,2929.5,457,36.8,38.2,430,430,55,12.8,180,75,175,315
48110258,DA,48110258,0.1985,382,142,137,0.2,1924.4,382,38.4,40.3,385,385,15,3.6,130,35,125,335
48110259,DA,48110259,0.2216,592,196,184,0.22,2671.5,592,56.0,53.0,455,455,30,6.4,165,60,160,355
48110260,DA,48110260,0.2337,449,178,168,0.23,1921.3,449,41.6,42.9,450,450,40,8.8,170,45,170,340
48110261,DA,48110261,0.2845,799,327,310,0.28,2808.4,799,41.6,41.1,800,800,25,3.6,315,75,315,680
48110262,DA,48110262,0.2648,563,224,216,0.26,2126.1,563,59.2,55.1,440,440,30,6.4,220,150,215,380
48110263,DA,48110263,0.1789,445,177,169,0.18,2487.4,445,41.2,41.8,445,445,35,7.6,155,45,150,295
48110264,DA,48110264,0.1781,505,200,194,0.18,2835.5,505,44.4,43.9,505,505,20,4,195,40,190,395
48110265,DA,48110265,0.2524,520,217,209,0.25,2060.2,520,39.6,40.9,520,520,15,3.2,205,55,200,430
48110266,DA,48110266,0.4418,1052,414,397,0.44,2381.2,1052,35.6,35.0,1055,1055,110,10.6,415,150,400,765
48110267,DA,48110267,0.0643,250,92,91,0.06,3888,250,46.0,45.2,250,250,10,4.5,90,20,,200
48110268,DA,48110268,0.237,858,302,284,0.24,3620.3,858,33.2,33.2,860,860,90,10.2,270,105,265,520
48110269,DA,48110269,0.0819,495,172,162,0.08,6044,495,32.0,33.4,495,495,45,9.6,160,55,160,325
48110270,DA,48110270,0.2333,749,304,296,0.23,3210.5,749,37.2,38.5,740,740,35,4.8,290,115,270,585
48110271,DA,48110271,0.1418,576,185,182,0.14,4062.1,576,42.4,40.9,575,575,10,2,180,15,180,480
48110273,DA,48110273,0.0653,289,108,103,0.07,4425.7,289,35.6,37.0,290,290,10,3,105,35,105,255
48110274,DA,48110274,0.2709,838,370,341,0.27,3093.4,838,33.2,34.2,840,840,65,8,350,175,340,655
48110277,DA,48110277,0.4261,650,278,259,0.43,1525.5,650,34.0,35.2,650,650,90,14,285,40,285,540
48110280,DA,48110280,0.3031,1076,520,477,0.3,3550,1076,31.0,32.6,1075,1075,150,14.2,475,225,465,810
48110281,DA,48110281,0.1427,591,202,197,0.14,4141.6,591,36.8,37.8,590,590,20,3.8,205,60,205,525
48110284,DA,48110284,0.0977,388,134,128,0.1,3971.3,388,40.0,40.3,390,390,15,3.2,110,35,105,265
48110286,DA,48110286,0.17,567,211,203,0.17,3335.3,567,37.2,39.0,565,565,25,4.4,195,60,195,430
48110287,DA,48110287,0.0906,307,114,112,0.09,3388.5,307,42.8,42.8,305,305,10,3.2,105,10,105,240
48110288,DA,48110288,0.2383,863,319,303,0.24,3621.5,863,39.6,40.0,860,860,25,2.8,300,100,295,680
48110289,DA,48110289,0.0994,318,108,107,0.1,3199.2,318,47.2,44.2,320,320,0,,110,15,110,245
48110291,DA,48110291,0.4044,1105,427,408,0.4,2732.4,1105,36.4,38.4,1105,1105,105,9.8,415,155,405,865
48110292,DA,48110292,0.0493,364,188,179,0.05,7383.4,364,35.2,37.5,365,365,45,11.2,155,40,150,320
48110293,DA,48110293,0.1782,765,266,260,0.18,4292.9,765,31.8,34.1,765,765,85,11.2,235,105,230,520
48110294,DA,48110294,0.2912,764,253,248,0.29,2623.6,764,40.8,41.8,765,765,20,2.4,240,55,235,635
48110295,DA,48110295,0.3799,573,200,193,0.38,1508.3,573,29.2,29.8,570,570,40,7.4,190,85,190,385
48110298,DA,48110298,0.0632,349,205,184,0.06,5522.2,349,49.6,46.5,350,350,30,8.5,190,75,180,325
48110300,DA,48110300,0.1803,405,156,149,0.18,2246.3,405,47.2,45.7,405,405,25,5.6,145,40,140,290
48110301,DA,48110301,0.1063,316,119,117,0.11,2972.7,316,45.6,43.6,315,315,15,3.6,125,25,125,255
48110302,DA,48110302,0.1135,320,126,121,0.11,2819.4,320,38.8,41.0,320,320,10,3,130,30,125,290
48110303,DA,48110303,0.1471,758,227,220,0.15,5153,758,24.2,28.1,760,760,125,16.4,215,95,210,475
48110304,DA,48110304,0.094,244,105,104,0.09,2595.7,244,53.6,49.4,,245,15,,100,15,,220
48110305,DA,48110305,0.0285,381,109,103,0.03,13368.4,381,17.4,24.2,380,380,55,15.6,90,55,90,205
48110306,DA,48110306,0.2837,460,188,182,0.28,1621.4,460,43.6,43.2,460,460,40,8.5,175,40,175,360
48110307,DA,48110307,0.128,349,143,141,0.13,2726.6,349,50.0,47.6,350,350,15,4,140,30,145,315
48110308,DA,48110308,0.3603,886,341,327,0.36,2459.1,886,48.0,44.9,890,890,30,3.8,330,65,315,750
48110309,DA,48110309,0.2512,862,312,306,0.25,3431.5,862,43.2,42.5,860,860,30,3.6,295,60,285,765
48110310,DA,48110310,0.1728,659,216,215,0.17,3813.7,659,42.4,41.1,660,660,10,2,205,50,205,510
48110311,DA,48110311,0.0745,300,105,104,0.07,4026.8,300,46.8,44.4,295,295,5,,100,25,100,245
48110314,DA,48110314,0.1645,593,202,200,0.16,3604.9,593,49.2,43.9,595,595,20,3.8,210,45,205,550
48110315,DA,48110315,0.164,543,171,170,0.16,3311,543,41.2,40.8,545,545,20,3.6,175,45,170,500
48110316,DA,48110316,0.163,538,189,183,0.16,3300.6,538,39.6,39.7,540,540,25,4.4,180,30,180,425
48110317,DA,48110317,0.1367,433,167,158,0.14,3167.5,433,45.6,44.2,435,435,25,4.8,160,35,155,385
48110318,DA,48110318,0.0908,700,250,223,0.09,7709.3,700,26.6,29.3,695,695,105,15,215,100,220,440
48110319,DA,48110319,0.3511,649,242,225,0.35,1848.5,649,30.6,31.1,650,650,55,8,235,105,230,495
48110320,DA,48110320,0.086,253,93,88,0.09,2941.9,253,38.0,39.6,255,255,20,8,80,15,,205
48110321,DA,48110321,0.1353,394,153,148,0.14,2912,394,42.4,43.2,395,395,25,6,145,30,140,290
48110322,DA,48110322,0.1953,940,451,402,0.2,4813.1,940,33.6,34.8,940,940,150,15.8,405,235,390,705
48110323,DA,48110323,0.1668,447,180,174,0.17,2679.9,447,47.6,45.9,445,445,15,3.2,175,30,175,390
48110324,DA,48110324,0.1539,265,101,100,0.15,1721.9,265,39.2,42.8,265,265,5,,105,30,95,245
48110325,DA,48110325,0.0641,655,297,270,0.06,10218.4,655,32.0,33.8,655,655,55,8.4,275,130,270,550
48110326,DA,48110326,0.2208,647,263,242,0.22,2930.3,647,36.0,38.6,645,645,50,8,245,110,240,515
48110327,DA,48110327,0.357,574,253,241,0.36,1607.8,574,78.0,70.2,380,380,10,2.8,245,125,250,365
48110328,DA,48110328,0.1747,468,184,179,0.17,2678.9,468,43.2,43.7,460,460,10,2,180,40,185,345
48110329,DA,48110329,0.1943,557,232,218,0.19,2866.7,557,44.0,43.5,555,555,40,7.2,235,85,230,490
48110330,DA,48110330,0.1344,448,206,197,0.13,3333.3,448,45.6,45.9,445,445,45,9.2,200,80,195,395
48110331,DA,48110331,0.0991,465,164,157,0.1,4692.2,465,37.2,37.9,465,465,40,8.8,165,60,170,380
48110332,DA,48110332,0.0871,538,252,214,0.09,6176.8,538,33.2,33.2,530,530,75,14.4,210,120,210,320
48110333,DA,48110333,0.1767,498,196,191,0.18,2818.3,498,48.4,45.1,495,495,40,7.6,210,50,205,515
48110334,DA,48110334,0.1457,411,173,162,0.15,2820.9,411,40.4,41.8,410,410,15,4,180,50,170,380
48110335,DA,48110335,0.2933,383,168,163,0.29,1305.8,383,44.0,44.6,380,380,25,6,165,55,170,350
48110336,DA,48110336,0.0863,524,194,158,0.09,6071.8,524,23.6,25.7,525,525,100,18.8,140,85,135,290
48110337,DA,48110337,0.1502,537,234,215,0.15,3575.2,537,38.4,39.9,535,535,50,9.2,215,95,205,415
